# material: PETG
# geometry: oct90deg
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-07-08 15:32:40
# notes: Annealed; horizontally printed; accidentally printed wrong file; have no unannealed sample to compare with. This trial may be disregarded.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.98,4.99,322.58,398.60
1.42,1.97,4.98,332.36,398.20
1.62,2.00,4.99,351.91,400.46
1.82,1.98,4.99,351.91,398.60
2.02,1.97,4.98,351.91,398.20
2.22,1.98,4.99,351.91,398.60
2.42,1.98,4.99,322.58,398.60
2.62,1.99,4.99,342.13,399.53
2.82,1.99,4.99,342.13,399.53
3.02,1.98,4.98,342.13,399.13
3.22,2.00,4.99,312.81,400.46
3.42,1.97,4.98,283.48,398.20
3.62,1.99,4.99,283.48,399.53
3.82,1.99,4.99,283.48,399.53
4.02,1.97,4.98,263.93,398.20
4.22,1.99,4.98,273.70,400.07
4.42,1.97,4.98,263.93,398.20
4.62,1.99,4.99,293.26,399.53
4.82,1.98,4.99,273.70,398.60
5.02,1.98,4.98,244.38,399.13
5.22,1.99,4.99,244.38,399.53
5.42,1.97,4.99,234.60,397.66
5.62,1.98,4.99,224.83,398.60
5.82,1.98,4.99,234.60,398.60
6.02,1.98,4.98,205.28,399.13
6.22,1.98,4.99,224.83,398.60
6.42,1.98,4.98,215.05,399.13
6.62,1.98,4.99,175.95,398.60
6.82,1.98,4.98,224.83,399.13
7.02,1.98,4.98,215.05,399.13
7.22,1.99,4.99,224.83,399.53
7.42,1.98,4.99,205.28,398.60
7.62,1.98,4.99,234.60,398.60
7.82,1.99,4.99,234.60,399.53
8.02,1.98,4.98,224.83,399.13
8.22,1.98,4.99,224.83,398.60
8.42,1.97,4.98,224.83,398.20
8.62,1.99,4.99,224.83,399.53
8.82,1.98,4.99,244.38,398.60
9.02,1.98,4.98,244.38,399.13
9.22,1.99,4.99,254.15,399.53
9.42,1.98,4.99,234.60,398.60
9.62,1.98,4.98,244.38,399.13
9.82,1.98,4.99,273.70,398.60
10.02,1.98,4.98,254.15,399.13
10.22,1.98,4.99,273.70,398.60
10.42,1.97,4.98,263.93,398.20
10.62,1.98,4.99,283.48,398.60
10.82,1.98,4.99,273.70,398.60
11.02,1.98,4.98,273.70,399.13
11.22,1.98,4.99,273.70,398.60
11.42,1.98,4.99,293.26,398.60
11.62,1.98,4.98,283.48,399.13
11.82,1.98,4.99,312.81,398.60
12.02,1.98,4.98,312.81,399.13
12.22,1.99,4.99,312.81,399.53
12.42,1.98,4.98,312.81,399.13
12.62,1.98,4.98,312.81,399.13
12.82,1.97,4.99,322.58,397.66
13.02,1.98,4.99,332.36,398.60
13.22,1.99,4.99,312.81,399.53
13.42,1.97,4.98,273.70,398.20
13.62,1.99,4.99,293.26,399.53
