Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.90,909.09,404.29
1.42,1.99,4.90,762.46,403.34
1.62,2.01,4.90,772.24,405.23
1.82,2.01,4.91,791.79,404.67
2.02,2.01,4.90,772.24,405.23
2.22,2.00,4.90,752.69,404.29
2.42,2.00,4.90,801.56,404.29
2.62,2.00,4.89,811.34,404.84
2.82,2.01,4.90,830.89,405.23
3.02,1.99,4.89,811.34,403.90
3.22,2.00,4.90,772.24,404.29
3.42,2.00,4.89,821.11,404.84
3.62,2.00,4.90,791.79,404.29
3.82,2.00,4.86,772.24,405.96
4.02,1.99,4.89,782.01,403.90
4.22,2.00,4.90,762.46,404.29
4.42,2.01,4.90,889.54,405.23
4.62,2.00,4.89,801.56,404.84
4.82,2.01,4.90,801.56,405.23
5.02,2.00,4.89,801.56,404.84
5.22,2.01,4.91,742.91,404.67
5.42,2.01,4.89,782.01,405.78
5.62,2.01,4.90,821.11,405.23
5.82,2.01,4.90,762.46,405.23
6.02,1.99,4.89,801.56,403.90
6.22,2.00,4.90,762.46,404.29
6.42,2.00,4.90,821.11,404.29
6.62,2.01,4.90,791.79,405.23
6.82,2.01,4.90,811.34,405.23
7.02,2.00,4.90,791.79,404.29
7.22,2.00,4.89,762.46,404.84
7.42,2.01,4.90,811.34,405.23
7.62,2.00,4.90,782.01,404.29
7.82,2.00,4.90,791.79,404.29
8.02,1.99,4.89,791.79,403.90
8.22,2.01,4.90,830.89,405.23
8.42,2.00,4.89,752.69,404.84
8.62,2.01,4.90,772.24,405.23
8.82,2.01,4.90,752.69,405.23
9.02,2.01,4.90,791.79,405.23
9.22,2.00,4.90,791.79,404.29
9.42,2.00,4.90,909.09,404.29
9.62,2.00,4.89,782.01,404.84
9.82,2.01,4.90,830.89,405.23
10.02,2.00,4.90,782.01,404.29
10.22,2.01,4.90,791.79,405.23
10.42,2.00,4.90,899.32,404.29
10.62,2.01,4.90,782.01,405.23
10.82,2.00,4.89,772.24,404.84
11.02,2.00,4.90,821.11,404.29
11.22,2.00,4.90,821.11,404.29
11.42,2.01,4.90,850.44,405.23
11.62,2.00,4.91,801.56,403.73
11.82,2.00,4.91,782.01,403.73
12.02,2.00,4.90,821.11,404.29
12.22,2.01,4.90,821.11,405.23
12.42,2.01,4.90,791.79,405.23
12.62,2.01,4.90,811.34,405.23
12.82,2.01,4.90,772.24,405.23
13.02,2.00,4.89,821.11,404.84
13.22,2.01,4.90,811.34,405.23
13.42,2.00,4.89,801.56,404.84
13.62,2.01,4.91,850.44,404.67
13.82,2.00,4.90,772.24,404.29
14.02,2.00,4.90,801.56,404.29
14.22,1.99,4.89,762.46,403.90
14.42,2.00,4.90,772.24,404.29
14.62,2.01,4.89,772.24,405.78
14.82,2.01,4.90,782.01,405.23
15.02,2.00,4.90,840.66,404.29
15.22,2.00,4.90,869.99,404.29
15.42,2.00,4.90,840.66,404.29
15.62,2.00,4.90,811.34,404.29
15.82,2.00,4.89,801.56,404.84
16.02,2.01,4.90,782.01,405.23
16.22,2.01,4.90,782.01,405.23
16.42,2.00,4.90,782.01,404.29
16.62,2.00,4.90,830.89,404.29
16.82,1.99,4.90,821.11,403.34
17.02,2.01,4.90,869.99,405.23
17.22,1.99,4.89,889.54,403.90
17.42,2.00,4.90,821.11,404.29
17.62,2.00,4.89,782.01,404.84
17.82,2.01,4.90,830.89,405.23
18.02,2.00,4.90,762.46,404.29
18.22,2.00,4.90,791.79,404.29
18.42,2.00,4.90,899.32,404.29
18.62,2.01,4.90,782.01,405.23
18.82,2.00,4.90,782.01,404.29
19.02,2.01,4.90,801.56,405.23
19.22,2.00,4.90,821.11,404.29
19.42,2.01,4.90,801.56,405.23
19.62,2.00,4.90,811.34,404.29
19.82,1.99,4.90,840.66,403.34
20.02,2.00,4.90,840.66,404.29
20.22,2.00,4.90,801.56,404.29
20.42,2.01,4.90,879.77,405.23
20.62,1.99,4.89,830.89,403.90
20.82,2.00,4.90,742.91,404.29
21.02,2.00,4.89,723.36,404.84
21.22,2.00,4.90,772.24,404.29
21.42,2.00,4.90,821.11,404.29
21.62,2.00,4.90,811.34,404.29
21.82,2.00,4.89,752.69,404.84
22.02,2.01,4.89,752.69,405.78
22.22,2.00,4.90,772.24,404.29
22.42,2.01,4.90,811.34,405.23
22.62,2.00,4.90,860.21,404.29
22.82,2.00,4.90,840.66,404.29
23.02,2.00,4.90,791.79,404.29
23.22,2.00,4.89,752.69,404.84
23.42,2.01,4.90,811.34,405.23
23.62,2.01,4.90,830.89,405.23
23.82,2.01,4.90,772.24,405.23
24.02,2.00,4.89,752.69,404.84
24.22,2.00,4.90,811.34,404.29
24.42,1.99,4.89,791.79,403.90
